Market_Names,Date,NonComm_Long,NonComm_Short,Change_Long,Change_Short,Net_Position,Market_Type,Total
US10,2025-08-19,523308,1468824,-21126.0,-17833.0,-945516,Bonds,1992132
US10,2025-08-12,544434,1486657,418.0,-17193.0,-942223,Bonds,2031091
US10,2025-08-05,544016,1503850,22943.0,86147.0,-959834,Bonds,2047866
US10,2025-07-29,521073,1417703,-46900.0,100196.0,-896630,Bonds,1938776
US10,2025-07-22,567973,1317507,-4098.0,-26941.0,-749534,Bonds,1885480
US10,2025-07-15,572071,1344448,27558.0,-40644.0,-772377,Bonds,1916519
US10,2025-07-08,544513,1385092,-65404.0,-8487.0,-840579,Bonds,1929605
US10,2025-07-01,609917,1393579,-30607.0,72924.0,-783662,Bonds,2003496
US10,2025-06-24,640524,1320655,90719.0,17951.0,-680131,Bonds,1961179
US10,2025-06-17,549805,1302704,8113.0,36911.0,-752899,Bonds,1852509
US10,2025-06-10,541692,1265793,32658.0,51503.0,-724101,Bonds,1807485
US10,2025-06-03,509034,1214290,60424.0,-3924.0,-705256,Bonds,1723324
US10,2025-05-27,448610,1218214,-55096.0,-136923.0,-769604,Bonds,1666824
US10,2025-05-20,503706,1355137,23535.0,-15385.0,-851431,Bonds,1858843
US10,2025-05-13,480171,1370522,11905.0,-50912.0,-890351,Bonds,1850693
US10,2025-05-06,468266,1421434,-28280.0,53351.0,-953168,Bonds,1889700
US10,2025-04-29,496546,1368083,1519.0,-33050.0,-871537,Bonds,1864629
US10,2025-04-22,495027,1401133,20257.0,-11392.0,-906106,Bonds,1896160
US10,2025-04-15,474770,1412525,22274.0,-118441.0,-937755,Bonds,1887295
US10,2025-04-08,452496,1530966,-109762.0,105445.0,-1078470,Bonds,1983462
US10,2025-04-01,562258,1425521,-68867.0,-15694.0,-863263,Bonds,1987779
US10,2025-03-25,631125,1441215,61191.0,-10093.0,-810090,Bonds,2072340
US10,2025-03-18,569934,1451308,-15059.0,129240.0,-881374,Bonds,2021242
US10,2025-03-11,584993,1322068,-52497.0,-27462.0,-737075,Bonds,1907061
US10,2025-03-04,637490,1349530,-40378.0,-28193.0,-712040,Bonds,1987020
US10,2025-02-25,677868,1377723,-50066.0,-59738.0,-699855,Bonds,2055591
US10,2025-02-18,727934,1437461,1731.0,-39776.0,-709527,Bonds,2165395
US10,2025-02-11,726203,1477237,-17202.0,26129.0,-751034,Bonds,2203440
US10,2025-02-04,743405,1451108,59968.0,67029.0,-707703,Bonds,2194513
US10,2025-01-28,683437,1384079,29256.0,149653.0,-700642,Bonds,2067516
US10,2025-01-21,654181,1234426,-23630.0,-11320.0,-580245,Bonds,1888607
US10,2025-01-14,677811,1245746,67990.0,-36521.0,-567935,Bonds,1923557
US10,2025-01-07,609821,1282267,66689.0,85372.0,-672446,Bonds,1892088
USOil,2025-08-19,304490,184281,11266.0,7799.0,120209,Commodity,488771
USOil,2025-08-12,293224,176482,-17335.0,7752.0,116742,Commodity,469706
USOil,2025-08-05,310559,168730,-7890.0,6304.0,141829,Commodity,479289
USOil,2025-07-29,318449,162426,9486.0,6794.0,156023,Commodity,480875
USOil,2025-07-22,308963,155632,48.0,9144.0,153331,Commodity,464595
USOil,2025-07-15,308915,146488,-24223.0,22724.0,162427,Commodity,455403
USOil,2025-07-08,333138,123764,-22103.0,3216.0,209374,Commodity,456902
USOil,2025-07-01,355241,120548,-2413.0,-4137.0,234693,Commodity,475789
USOil,2025-06-24,357654,124685,9803.0,7882.0,232969,Commodity,482339
USOil,2025-06-17,347851,116803,16590.0,-22517.0,231048,Commodity,464654
USOil,2025-06-10,331261,139320,6089.0,-17895.0,191941,Commodity,470581
USOil,2025-06-03,325172,157215,2561.0,298.0,167957,Commodity,482387
USOil,2025-05-27,322611,156917,-10048.0,10678.0,165694,Commodity,479528
USOil,2025-05-20,332659,146239,7636.0,6517.0,186420,Commodity,478898
USOil,2025-05-13,325023,139722,-6325.0,-16198.0,185301,Commodity,464745
USOil,2025-05-06,331348,155920,14182.0,15963.0,175428,Commodity,487268
USOil,2025-04-29,317166,139957,8674.0,2420.0,177209,Commodity,457123
USOil,2025-04-22,308492,137537,-2910.0,-27495.0,170955,Commodity,446029
USOil,2025-04-15,311402,165032,-5886.0,-12661.0,146370,Commodity,476434
USOil,2025-04-08,317288,177693,-9417.0,18673.0,139595,Commodity,494981
USOil,2025-04-01,326705,159020,2878.0,15751.0,167685,Commodity,485725
USOil,2025-03-25,323827,143269,7354.0,-6381.0,180558,Commodity,467096
USOil,2025-03-18,316473,149650,13605.0,10908.0,166823,Commodity,466123
USOil,2025-03-11,302868,138742,-3040.0,-12325.0,164126,Commodity,441610
USOil,2025-03-04,305908,151067,-25079.0,-8722.0,154841,Commodity,456975
USOil,2025-02-25,330987,159789,-854.0,25542.0,171198,Commodity,490776
USOil,2025-02-18,331841,134247,-28192.0,-5782.0,197594,Commodity,466088
USOil,2025-02-11,360033,140029,9449.0,19758.0,220004,Commodity,500062
USOil,2025-02-04,350584,120271,-28499.0,5314.0,230313,Commodity,470855
USOil,2025-01-28,379083,114957,-40315.0,-5594.0,264126,Commodity,494040
USOil,2025-01-21,419398,120551,-14176.0,-6732.0,298847,Commodity,539949
USOil,2025-01-14,433574,127283,21951.0,-4773.0,306291,Commodity,560857
USOil,2025-01-07,411623,132056,31218.0,5975.0,279567,Commodity,543679
XAU,2025-08-19,275277,62687,-12838.0,4057.0,212590,Commodity,337964
XAU,2025-08-12,288115,58630,-4079.0,3486.0,229485,Commodity,346745
XAU,2025-08-05,292194,55144,10953.0,-2501.0,237050,Commodity,347338
XAU,2025-07-29,281241,57645,-30708.0,-1266.0,223596,Commodity,338886
XAU,2025-07-22,311949,58911,41722.0,1799.0,253038,Commodity,370860
XAU,2025-07-15,270227,57112,8542.0,-1605.0,213115,Commodity,327339
XAU,2025-07-08,261685,58717,3054.0,2066.0,202968,Commodity,320402
XAU,2025-07-01,258631,56651,2554.0,-4422.0,201980,Commodity,315282
XAU,2025-06-24,256077,61073,-4509.0,1135.0,195004,Commodity,317150
XAU,2025-06-17,260586,59938,14591.0,1424.0,200648,Commodity,320524
XAU,2025-06-10,245995,58514,-987.0,-563.0,187481,Commodity,304509
XAU,2025-06-03,246982,59077,12895.0,-826.0,187905,Commodity,306059
XAU,2025-05-27,234087,59903,-3975.0,-14178.0,174184,Commodity,293990
XAU,2025-05-20,238062,74081,-129.0,-2901.0,163981,Commodity,312143
XAU,2025-05-13,238191,76982,746.0,2034.0,161209,Commodity,315173
XAU,2025-05-06,237445,74948,-2932.0,-2111.0,162497,Commodity,312393
XAU,2025-04-29,240377,77059,-18519.0,-6459.0,163318,Commodity,317436
XAU,2025-04-22,258896,83518,-12811.0,14021.0,175378,Commodity,342414
XAU,2025-04-15,271707,69497,1874.0,379.0,202210,Commodity,341204
XAU,2025-04-08,269833,69118,-58103.0,-20384.0,200715,Commodity,338951
XAU,2025-04-01,327936,89502,11364.0,22726.0,238434,Commodity,417438
XAU,2025-03-25,316572,66776,-5082.0,3054.0,249796,Commodity,383348
XAU,2025-03-18,321654,63722,25482.0,3650.0,257932,Commodity,385376
XAU,2025-03-11,296172,60072,-6960.0,201.0,236100,Commodity,356244
XAU,2025-03-04,303132,59871,-13816.0,4548.0,243261,Commodity,363003
XAU,2025-02-25,316948,55323,-17095.0,-10046.0,261625,Commodity,372271
XAU,2025-02-18,334043,65369,-9723.0,6107.0,268674,Commodity,399412
XAU,2025-02-11,343766,59262,-12734.0,5270.0,284504,Commodity,403028
XAU,2025-02-04,356500,53992,18129.0,15030.0,302508,Commodity,410492
XAU,2025-01-28,338371,38962,1082.0,2457.0,299409,Commodity,377333
XAU,2025-01-21,337289,36505,24721.0,3300.0,300784,Commodity,373794
XAU,2025-01-14,312568,33205,20847.0,-3605.0,279363,Commodity,345773
XAU,2025-01-07,291721,36810,8814.0,1182.0,254911,Commodity,328531
CAD,2025-08-19,19028,112107,-1870.0,1132.0,-93079,Forex,131135
CAD,2025-08-12,20898,110975,-2691.0,7966.0,-90077,Forex,131873
CAD,2025-08-05,23589,103009,2705.0,5692.0,-79420,Forex,126598
CAD,2025-07-29,20884,97317,-2202.0,3888.0,-76433,Forex,118201
CAD,2025-07-22,23086,93429,1162.0,-2589.0,-70343,Forex,116515
CAD,2025-07-15,21924,96018,1580.0,4066.0,-74094,Forex,117942
CAD,2025-07-08,20344,91952,-1805.0,6351.0,-71608,Forex,112296
CAD,2025-07-01,22149,85601,-3118.0,7167.0,-63452,Forex,107750
CAD,2025-06-24,25267,78434,-2887.0,-16053.0,-53167,Forex,103701
CAD,2025-06-17,28154,94487,8503.0,-18307.0,-66333,Forex,122641
CAD,2025-06-10,19651,112794,984.0,-14319.0,-93143,Forex,132445
CAD,2025-06-03,18667,127113,-1751.0,2797.0,-108446,Forex,145780
CAD,2025-05-27,20418,124316,-2211.0,-2174.0,-103898,Forex,144734
CAD,2025-05-20,22629,126490,-621.0,21084.0,-103861,Forex,149119
CAD,2025-05-13,23250,105406,6573.0,18084.0,-82156,Forex,128656
CAD,2025-05-06,16677,87322,631.0,4071.0,-70645,Forex,103999
CAD,2025-04-29,16046,83251,-2311.0,-2273.0,-67205,Forex,99297
CAD,2025-04-22,18357,85524,92.0,-16601.0,-67167,Forex,103881
CAD,2025-04-15,18265,102125,2236.0,-33145.0,-83860,Forex,120390
CAD,2025-04-08,16029,135270,-1577.0,-12352.0,-119241,Forex,151299
CAD,2025-04-01,17606,147622,-342.0,140.0,-130016,Forex,165228
CAD,2025-03-25,17948,147482,-141.0,-7189.0,-129534,Forex,165430
CAD,2025-03-18,18089,154671,-1108.0,-6936.0,-136582,Forex,172760
CAD,2025-03-11,19197,161607,-2978.0,-4338.0,-142410,Forex,180804
CAD,2025-03-04,22175,165945,1652.0,7516.0,-143770,Forex,188120
CAD,2025-02-25,20523,158429,-753.0,-7490.0,-137906,Forex,178952
CAD,2025-02-18,21276,165919,3365.0,-2826.0,-144643,Forex,187195
CAD,2025-02-11,17911,168745,-2510.0,-12120.0,-150834,Forex,186656
CAD,2025-02-04,20421,180865,-798.0,12045.0,-160444,Forex,201286
CAD,2025-01-28,21219,168820,1716.0,-1470.0,-147601,Forex,190039
CAD,2025-01-21,19503,170290,-3528.0,-19894.0,-150787,Forex,189793
CAD,2025-01-14,23031,190184,3917.0,-7519.0,-167153,Forex,213215
CAD,2025-01-07,19114,197703,-1770.0,1111.0,-178589,Forex,216817
CHF,2025-08-19,6459,33737,368.0,-397.0,-27278,Forex,40196
CHF,2025-08-12,6091,34134,-715.0,-49.0,-28043,Forex,40225
CHF,2025-08-05,6806,34183,-2217.0,1126.0,-27377,Forex,40989
CHF,2025-07-29,9023,33057,936.0,-1095.0,-24034,Forex,42080
CHF,2025-07-22,8087,34152,-1872.0,1556.0,-26065,Forex,42239
CHF,2025-07-15,9959,32596,1471.0,1912.0,-22637,Forex,42555
CHF,2025-07-08,8488,30684,1388.0,-269.0,-22196,Forex,39172
CHF,2025-07-01,7100,30953,-1084.0,1825.0,-23853,Forex,38053
CHF,2025-06-24,8184,29128,327.0,1215.0,-20944,Forex,37312
CHF,2025-06-17,7857,27913,-1383.0,-2595.0,-20056,Forex,35770
CHF,2025-06-10,9240,30508,2095.0,-2703.0,-21268,Forex,39748
CHF,2025-06-03,7145,33211,1356.0,1939.0,-26066,Forex,40356
CHF,2025-05-27,5789,31272,-1843.0,-127.0,-25483,Forex,37061
CHF,2025-05-20,7632,31399,189.0,887.0,-23767,Forex,39031
CHF,2025-05-13,7443,30512,1885.0,1380.0,-23069,Forex,37955
CHF,2025-05-06,5558,29132,-9.0,-749.0,-23574,Forex,34690
CHF,2025-04-29,5567,29881,245.0,-915.0,-24314,Forex,35448
CHF,2025-04-22,5322,30796,42.0,-3068.0,-25474,Forex,36118
CHF,2025-04-15,5280,33864,932.0,-761.0,-28584,Forex,39144
CHF,2025-04-08,4348,34625,205.0,-12282.0,-30277,Forex,38973
CHF,2025-04-01,4143,46907,-35.0,5136.0,-42764,Forex,51050
CHF,2025-03-25,4178,41771,91.0,3309.0,-37593,Forex,45949
CHF,2025-03-18,4087,38462,-1042.0,-3624.0,-34375,Forex,42549
CHF,2025-03-11,5129,42086,-443.0,-1261.0,-36957,Forex,47215
CHF,2025-03-04,5572,43347,553.0,-1132.0,-37775,Forex,48919
CHF,2025-02-25,5019,44479,-2028.0,-927.0,-39460,Forex,49498
CHF,2025-02-18,7047,45406,1494.0,1108.0,-38359,Forex,52453
CHF,2025-02-11,5553,44298,311.0,-3202.0,-38745,Forex,49851
CHF,2025-02-04,5242,47500,246.0,-496.0,-42258,Forex,52742
CHF,2025-01-28,4996,47996,-1530.0,-367.0,-43000,Forex,52992
CHF,2025-01-21,6526,48363,-1031.0,2105.0,-41837,Forex,54889
CHF,2025-01-14,7557,46258,-311.0,502.0,-38701,Forex,53815
