Market_Names,Date,NonComm_Long,NonComm_Short,Change_Long,Change_Short,Net_Position,Market_Type,Total,ReleaseDate
EUR,2024-10-01,178273,122946,-9522.0,6849.0,55327,Forex,301219,2024-10-04
XAU,2024-10-01,370051,70120,-17521.0,-2062.0,299931,Commodity,440171,2024-10-04
USOil,2024-10-01,294894,135286,3465.0,2454.0,159608,Commodity,430180,2024-10-04
US10,2024-10-01,454080,1597969,-13748.0,104863.0,-1143889,Bonds,2052049,2024-10-04
JPY,2024-10-01,95513,38741,-9177.0,62.0,56772,Forex,134254,2024-10-04
CAD,2024-10-01,25151,95154,-154.0,4260.0,-70003,Forex,120305,2024-10-04
NZD,2024-10-01,29168,27198,2693.0,-735.0,1970,Forex,56366,2024-10-04
BTC,2024-10-01,23406,25090,-450.0,-312.0,-1684,Crypto,48496,2024-10-04
NAS100,2024-10-01,56497,40418,3882.0,3842.0,16079,Indices,96915,2024-10-04
CHF,2024-10-01,6550,29404,-951.0,2613.0,-22854,Forex,35954,2024-10-04
AUD,2024-10-01,101462,86934,19538.0,-6238.0,14528,Forex,188396,2024-10-04
USD,2024-10-01,13829,13675,-2695.0,-1890.0,154,Forex,27504,2024-10-04
SP500,2024-10-01,310790,302790,20074.0,-24059.0,8000,Indices,613580,2024-10-04
GBP,2024-10-01,161469,67704,6144.0,-629.0,93765,Forex,229173,2024-10-04
US30,2024-10-01,25145,8095,1922.0,308.0,17050,Indices,33240,2024-10-04
EUR,2024-09-24,187795,116097,5514.0,3462.0,71698,Forex,303892,2024-09-27
USOil,2024-09-24,291429,132832,20877.0,7608.0,158597,Commodity,424261,2024-09-27
USD,2024-09-24,16524,15565,627.0,1466.0,959,Forex,32089,2024-09-27
SP500,2024-09-24,290716,326849,-9275.0,-101229.0,-36133,Indices,617565,2024-09-27
US10,2024-09-24,467828,1493106,36789.0,-31959.0,-1025278,Bonds,1960934,2024-09-27
JPY,2024-09-24,104690,38679,7358.0,-1813.0,66011,Forex,143369,2024-09-27
XAU,2024-09-24,387572,72182,17838.0,12514.0,315390,Commodity,459754,2024-09-27
AUD,2024-09-24,81924,93172,27983.0,-891.0,-11248,Forex,175096,2024-09-27
NZD,2024-09-24,26475,27933,5717.0,5285.0,-1458,Forex,54408,2024-09-27
US30,2024-09-24,23223,7787,635.0,-187.0,15436,Indices,31010,2024-09-27
CAD,2024-09-24,25305,90894,3841.0,-3720.0,-65589,Forex,116199,2024-09-27
BTC,2024-09-24,23856,25402,-10.0,563.0,-1546,Crypto,49258,2024-09-27
GBP,2024-09-24,155325,68333,30503.0,6490.0,86992,Forex,223658,2024-09-27
CHF,2024-09-24,7501,26791,-1078.0,1104.0,-19290,Forex,34292,2024-09-27
NAS100,2024-09-24,52615,36576,-15672.0,-12478.0,16039,Indices,89191,2024-09-27
USOil,2024-09-17,270552,125224,-21040.0,-26354.0,145328,Commodity,395776,2024-09-20
GBP,2024-09-17,124822,61843,-17250.0,10059.0,62979,Forex,186665,2024-09-20
AUD,2024-09-17,53941,94063,-20318.0,5762.0,-40122,Forex,148004,2024-09-20
XAU,2024-09-17,369734,59668,29728.0,2163.0,310066,Commodity,429402,2024-09-20
JPY,2024-09-17,97332,40492,-1562.0,-2632.0,56840,Forex,137824,2024-09-20
US30,2024-09-17,22588,7974,2952.0,-3494.0,14614,Indices,30562,2024-09-20
CAD,2024-09-17,21464,94614,-2309.0,1888.0,-73150,Forex,116078,2024-09-20
US10,2024-09-17,431039,1525065,21918.0,93839.0,-1094026,Bonds,1956104,2024-09-20
EUR,2024-09-17,182281,112635,-10540.0,1247.0,69646,Forex,294916,2024-09-20
USD,2024-09-17,15897,14099,-16219.0,2193.0,1798,Forex,29996,2024-09-20
SP500,2024-09-17,299991,428078,-36039.0,26754.0,-128087,Indices,728069,2024-09-20
CHF,2024-09-17,8579,25687,497.0,-3699.0,-17108,Forex,34266,2024-09-20
NAS100,2024-09-17,68287,49054,-1546.0,4847.0,19233,Indices,117341,2024-09-20
NZD,2024-09-17,20758,22648,-636.0,-2061.0,-1890,Forex,43406,2024-09-20
BTC,2024-09-17,23866,24839,897.0,1517.0,-973,Crypto,48705,2024-09-20
US30,2024-09-10,19636,11468,-136.0,-1168.0,8168,Indices,31104,2024-09-13
JPY,2024-09-10,98894,43124,7103.0,-7551.0,55770,Forex,142018,2024-09-13
BTC,2024-09-10,22969,23322,-380.0,81.0,-353,Crypto,46291,2024-09-13
USD,2024-09-10,32116,11906,-2609.0,-3390.0,20210,Forex,44022,2024-09-13
US10,2024-09-10,409121,1431226,-21085.0,-1807.0,-1022105,Bonds,1840347,2024-09-13
EUR,2024-09-10,192821,111388,-23148.0,-4563.0,81433,Forex,304209,2024-09-13
NZD,2024-09-10,21394,24709,-3841.0,-764.0,-3315,Forex,46103,2024-09-13
USOil,2024-09-10,291592,151578,-796.0,36225.0,140014,Commodity,443170,2024-09-13
AUD,2024-09-10,74259,88301,-12859.0,-6681.0,-14042,Forex,162560,2024-09-13
NAS100,2024-09-10,69833,44207,1938.0,2300.0,25626,Indices,114040,2024-09-13
GBP,2024-09-10,142072,51784,-18701.0,-911.0,90288,Forex,193856,2024-09-13
XAU,2024-09-10,340006,57505,849.0,5906.0,282501,Commodity,397511,2024-09-13
CHF,2024-09-10,8082,29386,-740.0,-1318.0,-21304,Forex,37468,2024-09-13
SP500,2024-09-10,336030,401324,15024.0,25497.0,-65294,Indices,737354,2024-09-13
CAD,2024-09-10,23773,92726,-7687.0,-7278.0,-68953,Forex,116499,2024-09-13
EUR,2024-09-03,215969,115951,-2412.0,-9592.0,100018,Forex,331920,2024-09-06
US10,2024-09-03,430206,1433033,8399.0,96789.0,-1002827,Bonds,1863239,2024-09-06
USD,2024-09-03,34725,15296,-2652.0,-3168.0,19429,Forex,50021,2024-09-06
USOil,2024-09-03,292388,115353,-11086.0,38578.0,177035,Commodity,407741,2024-09-06
CAD,2024-09-03,31460,100004,12135.0,-29323.0,-68544,Forex,131464,2024-09-06
XAU,2024-09-03,339157,51599,-4173.0,2714.0,287558,Commodity,390756,2024-09-06
US30,2024-09-03,19772,12636,-2418.0,-1185.0,7136,Indices,32408,2024-09-06
NAS100,2024-09-03,67895,41907,2434.0,-2114.0,25988,Indices,109802,2024-09-06
NZD,2024-09-03,25235,25473,4587.0,-3491.0,-238,Forex,50708,2024-09-06
JPY,2024-09-03,91791,50675,7486.0,-7762.0,41116,Forex,142466,2024-09-06
CHF,2024-09-03,8822,30704,-1051.0,-3781.0,-21882,Forex,39526,2024-09-06
SP500,2024-09-03,321006,375827,19928.0,-14785.0,-54821,Indices,696833,2024-09-06
AUD,2024-09-03,87118,94982,5632.0,-5663.0,-7864,Forex,182100,2024-09-06
GBP,2024-09-03,160773,52695,8610.0,-9537.0,108078,Forex,213468,2024-09-06
BTC,2024-09-03,23349,23241,-1756.0,-2030.0,108,Crypto,46590,2024-09-06
BTC,2024-08-27,25105,25271,1089.0,1012.0,-166,Crypto,50376,2024-08-30
USOil,2024-08-27,303474,76775,8578.0,4167.0,226699,Commodity,380249,2024-08-30
JPY,2024-08-27,84305,58437,-4456.0,-6739.0,25868,Forex,142742,2024-08-30
AUD,2024-08-27,81486,100645,10932.0,-8794.0,-19159,Forex,182131,2024-08-30
CHF,2024-08-27,9873,34485,2273.0,1171.0,-24612,Forex,44358,2024-08-30
NAS100,2024-08-27,65461,44021,9787.0,-272.0,21440,Indices,109482,2024-08-30
US30,2024-08-27,22190,13821,-317.0,-1958.0,8369,Indices,36011,2024-08-30
XAU,2024-08-27,343330,48885,-12221.0,-15413.0,294445,Commodity,392215,2024-08-30
NZD,2024-08-27,20648,28964,1761.0,-3692.0,-8316,Forex,49612,2024-08-30
USD,2024-08-27,37377,18464,1925.0,603.0,18913,Forex,55841,2024-08-30
US10,2024-08-27,421807,1336244,10178.0,-113497.0,-914437,Bonds,1758051,2024-08-30
EUR,2024-08-27,218381,125543,24031.0,-12790.0,92838,Forex,343924,2024-08-30
CAD,2024-08-27,19325,129327,-203.0,-54611.0,-110002,Forex,148652,2024-08-30
GBP,2024-08-27,152163,62232,26529.0,4109.0,89931,Forex,214395,2024-08-30
SP500,2024-08-27,301079,390612,23840.0,21215.0,-89533,Indices,691691,2024-08-30
USD,2024-08-20,35452,17861,1766.0,2711.0,17591,Forex,53313,2024-08-23
US10,2024-08-20,411629,1449741,-46492.0,131377.0,-1038112,Bonds,1861370,2024-08-23
XAU,2024-08-20,355551,64298,26782.0,2793.0,291253,Commodity,419849,2024-08-23
EUR,2024-08-20,194350,138333,12138.0,-16896.0,56017,Forex,332683,2024-08-23
BTC,2024-08-20,24016,24259,-105.0,533.0,-243,Crypto,48275,2024-08-23
US30,2024-08-20,22507,15779,4495.0,-996.0,6728,Indices,38286,2024-08-23
CAD,2024-08-20,19528,183938,-1140.0,-16341.0,-164410,Forex,203466,2024-08-23
NAS100,2024-08-20,55674,44293,6623.0,3726.0,11381,Indices,99967,2024-08-23
GBP,2024-08-20,125634,58123,23031.0,3332.0,67511,Forex,183757,2024-08-23
SP500,2024-08-20,277239,369397,-6191.0,56704.0,-92158,Indices,646636,2024-08-23
NZD,2024-08-20,18887,32656,1837.0,-18.0,-13769,Forex,51543,2024-08-23
AUD,2024-08-20,70554,109439,5526.0,1795.0,-38885,Forex,179993,2024-08-23
JPY,2024-08-20,88761,65176,1660.0,1179.0,23585,Forex,153937,2024-08-23
USOil,2024-08-20,294896,72608,-3302.0,5953.0,222288,Commodity,367504,2024-08-23
CHF,2024-08-20,7600,33314,-1555.0,2495.0,-25714,Forex,40914,2024-08-23
AUD,2024-08-13,65028,107644,-3165.0,-748.0,-42616,Forex,172672,2024-08-16
EUR,2024-08-13,182212,155229,-3587.0,3010.0,26983,Forex,337441,2024-08-16
NZD,2024-08-13,17050,32674,-2793.0,-3920.0,-15624,Forex,49724,2024-08-16
XAU,2024-08-13,328769,61505,30650.0,2135.0,267264,Commodity,390274,2024-08-16
USD,2024-08-13,33686,15150,2690.0,290.0,18536,Forex,48836,2024-08-16
CHF,2024-08-13,9155,30819,-415.0,-824.0,-21664,Forex,39974,2024-08-16
US30,2024-08-13,18012,16775,-3472.0,2660.0,1237,Indices,34787,2024-08-16
USOil,2024-08-13,298198,66655,-7544.0,-16745.0,231543,Commodity,364853,2024-08-16
BTC,2024-08-13,24121,23726,167.0,310.0,395,Crypto,47847,2024-08-16
GBP,2024-08-13,102603,54791,-23477.0,3110.0,47812,Forex,157394,2024-08-16
NAS100,2024-08-13,49051,40567,-1837.0,2290.0,8484,Indices,89618,2024-08-16
CAD,2024-08-13,20668,200279,-1325.0,-3346.0,-179611,Forex,220947,2024-08-16
JPY,2024-08-13,87101,63997,20932.0,-13526.0,23104,Forex,151098,2024-08-16
SP500,2024-08-13,283430,312693,-41519.0,15683.0,-29263,Indices,596123,2024-08-16
US10,2024-08-13,458121,1318364,16400.0,100435.0,-860243,Bonds,1776485,2024-08-16
US10,2024-08-06,441721,1217929,26685.0,74423.0,-776208,Bonds,1659650,2024-08-09
EUR,2024-08-06,185799,152219,2793.0,-12988.0,33580,Forex,338018,2024-08-09
USOil,2024-08-06,305742,83400,-9871.0,13280.0,222342,Commodity,389142,2024-08-09
CAD,2024-08-06,21993,203625,-1733.0,-16364.0,-181632,Forex,225618,2024-08-09
USD,2024-08-06,30996,14860,1023.0,1845.0,16136,Forex,45856,2024-08-09
GBP,2024-08-06,126080,51681,-39555.0,-2483.0,74399,Forex,177761,2024-08-09
NZD,2024-08-06,19843,36594,-7456.0,-2113.0,-16751,Forex,56437,2024-08-09
SP500,2024-08-06,324949,297009,-7472.0,-27673.0,27940,Indices,621958,2024-08-09
JPY,2024-08-06,66169,77523,1153.0,-60953.0,-11354,Forex,143692,2024-08-09
AUD,2024-08-06,68193,108392,-11043.0,-2214.0,-40199,Forex,176585,2024-08-09
BTC,2024-08-06,23954,23416,-206.0,-1746.0,538,Crypto,47370,2024-08-09
XAU,2024-08-06,298119,59370,-15245.0,-7393.0,238749,Commodity,357489,2024-08-09
US30,2024-08-06,21484,14115,-6070.0,99.0,7369,Indices,35599,2024-08-09
CHF,2024-08-06,9570,31643,2056.0,-10391.0,-22073,Forex,41213,2024-08-09
NAS100,2024-08-06,50888,38277,2511.0,-7678.0,12611,Indices,89165,2024-08-09
NZD,2024-07-30,27299,38707,-2908.0,13014.0,-11408,Forex,66006,2024-08-02
EUR,2024-07-30,183006,165207,-5923.0,12184.0,17799,Forex,348213,2024-08-02
USOil,2024-07-30,315613,70120,-39998.0,-9493.0,245493,Commodity,385733,2024-08-02
CAD,2024-07-30,23726,219989,-361.0,34299.0,-196263,Forex,243715,2024-08-02
USD,2024-07-30,29973,13015,-223.0,1039.0,16958,Forex,42988,2024-08-02
CHF,2024-07-30,7514,42034,1895.0,-5822.0,-34520,Forex,49548,2024-08-02
BTC,2024-07-30,24160,25162,-361.0,-20.0,-1002,Crypto,49322,2024-08-02
GBP,2024-07-30,165635,54164,-22854.0,7858.0,111471,Forex,219799,2024-08-02
NAS100,2024-07-30,48377,45955,-3435.0,-6470.0,2422,Indices,94332,2024-08-02
JPY,2024-07-30,65016,138476,626.0,-33022.0,-73460,Forex,203492,2024-08-02
SP500,2024-07-30,332421,324682,-2903.0,-26736.0,7739,Indices,657103,2024-08-02
XAU,2024-07-30,313364,66763,-28236.0,-1763.0,246601,Commodity,380127,2024-08-02
US10,2024-07-30,415036,1143506,27591.0,114132.0,-728470,Bonds,1558542,2024-08-02
AUD,2024-07-30,79236,110606,-17737.0,4819.0,-31370,Forex,189842,2024-08-02
US30,2024-07-30,27554,14016,1613.0,-559.0,13538,Indices,41570,2024-08-02
US30,2024-07-23,25941,14575,-4627.0,-752.0,11366,Indices,40516,2024-07-26
GBP,2024-07-23,188489,46306,5202.0,-4079.0,142183,Forex,234795,2024-07-26
AUD,2024-07-23,96973,105787,-9339.0,10588.0,-8814,Forex,202760,2024-07-26
SP500,2024-07-23,335324,351418,2512.0,-49466.0,-16094,Indices,686742,2024-07-26
NAS100,2024-07-23,51812,52425,-13018.0,-6723.0,-613,Indices,104237,2024-07-26
JPY,2024-07-23,64390,171498,17034.0,-26930.0,-107108,Forex,235888,2024-07-26
NZD,2024-07-23,30207,25693,-4266.0,3781.0,4514,Forex,55900,2024-07-26
EUR,2024-07-23,188929,153023,8992.0,-2165.0,35906,Forex,341952,2024-07-26
CAD,2024-07-23,24087,185690,-647.0,28483.0,-161603,Forex,209777,2024-07-26
USD,2024-07-23,30196,11976,-131.0,199.0,18220,Forex,42172,2024-07-26
CHF,2024-07-23,5619,47856,-872.0,-8428.0,-42237,Forex,53475,2024-07-26
USOil,2024-07-23,355611,79613,-20816.0,-9213.0,275998,Commodity,435224,2024-07-26
BTC,2024-07-23,24521,25182,-189.0,-107.0,-661,Crypto,49703,2024-07-26
XAU,2024-07-23,341600,68526,-8227.0,3723.0,273074,Commodity,410126,2024-07-26
US10,2024-07-23,387445,1029374,8914.0,13357.0,-641929,Bonds,1416819,2024-07-26
GBP,2024-07-16,183287,50385,47971.0,-241.0,132902,Forex,233672,2024-07-19
US10,2024-07-16,378531,1016017,-132402.0,87180.0,-637486,Bonds,1394548,2024-07-19
USD,2024-07-16,30327,11777,-260.0,-2602.0,18550,Forex,42104,2024-07-19
USOil,2024-07-16,376427,88826,7198.0,3491.0,287601,Commodity,465253,2024-07-19
CAD,2024-07-16,24734,157207,4471.0,25732.0,-132473,Forex,181941,2024-07-19
CHF,2024-07-16,6491,56284,1153.0,4858.0,-49793,Forex,62775,2024-07-19
JPY,2024-07-16,47356,198428,5835.0,-25126.0,-151072,Forex,245784,2024-07-19
XAU,2024-07-16,349827,64803,46784.0,16535.0,285024,Commodity,414630,2024-07-19
NZD,2024-07-16,34473,21912,-7210.0,6141.0,12561,Forex,56385,2024-07-19
EUR,2024-07-16,179937,155188,14108.0,-7018.0,24749,Forex,335125,2024-07-19
SP500,2024-07-16,332812,400884,23681.0,36044.0,-68072,Indices,733696,2024-07-19
BTC,2024-07-16,24710,25289,1627.0,2088.0,-579,Crypto,49999,2024-07-19
NAS100,2024-07-16,64830,59148,-1507.0,-1972.0,5682,Indices,123978,2024-07-19
AUD,2024-07-16,106312,95199,7315.0,-1385.0,11113,Forex,201511,2024-07-19
US30,2024-07-16,30568,15327,8251.0,805.0,15241,Indices,45895,2024-07-19
CHF,2024-07-09,5338,51426,-841.0,1804.0,-46088,Forex,56764,2024-07-12
BTC,2024-07-09,23083,23201,1813.0,1019.0,-118,Crypto,46284,2024-07-12
USOil,2024-07-09,369229,85335,744.0,-3204.0,283894,Commodity,454564,2024-07-12
JPY,2024-07-09,41521,223554,4807.0,2617.0,-182033,Forex,265075,2024-07-12
GBP,2024-07-09,135316,50626,28563.0,5914.0,84690,Forex,185942,2024-07-12
XAU,2024-07-09,303043,48268,22926.0,9694.0,254775,Commodity,351311,2024-07-12
US30,2024-07-09,22317,14522,4012.0,2945.0,7795,Indices,36839,2024-07-12
NZD,2024-07-09,41683,15771,-3502.0,1329.0,25912,Forex,57454,2024-07-12
SP500,2024-07-09,309131,364840,-8116.0,34981.0,-55709,Indices,673971,2024-07-12
US10,2024-07-09,510933,928837,34216.0,106744.0,-417904,Bonds,1439770,2024-07-12
AUD,2024-07-09,98997,96584,21046.0,2797.0,2413,Forex,195581,2024-07-12
CAD,2024-07-09,20263,131475,-1587.0,-10727.0,-111212,Forex,151738,2024-07-12
NAS100,2024-07-09,66337,61120,-3848.0,1711.0,5217,Indices,127457,2024-07-12
EUR,2024-07-09,165829,162206,1460.0,-11682.0,3623,Forex,328035,2024-07-12
USD,2024-07-09,30587,14379,-2189.0,-1815.0,16208,Forex,44966,2024-07-12
USD,2024-07-02,32776,16194,829.0,1769.0,16582,Forex,48970,2024-07-05
AUD,2024-07-02,77951,93787,13331.0,5491.0,-15836,Forex,171738,2024-07-05
SP500,2024-07-02,317247,329859,46435.0,-7057.0,-12612,Indices,647106,2024-07-05
XAU,2024-07-02,280117,38574,-4768.0,-82.0,241543,Commodity,318691,2024-07-05
BTC,2024-07-02,21270,22182,-833.0,-545.0,-912,Crypto,43452,2024-07-05
CAD,2024-07-02,21850,142202,-5940.0,-8000.0,-120352,Forex,164052,2024-07-05
NAS100,2024-07-02,70185,59409,2316.0,-1065.0,10776,Indices,129594,2024-07-05
CHF,2024-07-02,6179,49622,-327.0,8059.0,-43443,Forex,55801,2024-07-05
JPY,2024-07-02,36714,220937,2138.0,12461.0,-184223,Forex,257651,2024-07-05
US10,2024-07-02,476717,822093,44090.0,69622.0,-345376,Bonds,1298810,2024-07-05
USOil,2024-07-02,368485,88539,7386.0,-1315.0,279946,Commodity,457024,2024-07-05
GBP,2024-07-02,106753,44712,4206.0,-13787.0,62041,Forex,151465,2024-07-05
EUR,2024-07-02,164369,173888,-3001.0,-1913.0,-9519,Forex,338257,2024-07-05
NZD,2024-07-02,45185,14442,1474.0,-2627.0,30743,Forex,59627,2024-07-05
US30,2024-07-02,18305,11577,2135.0,-5107.0,6728,Indices,29882,2024-07-05
USD,2024-06-25,31947,14425,1742.0,1815.0,17522,Forex,46372,2024-06-28
XAU,2024-06-25,284885,38656,-2262.0,-5407.0,246229,Commodity,323541,2024-06-28
CAD,2024-06-25,27790,150202,5012.0,-20507.0,-122412,Forex,177992,2024-06-28
SP500,2024-06-25,270812,336917,-44137.0,-77924.0,-66105,Indices,607729,2024-06-28
US10,2024-06-25,432627,752471,14265.0,-33497.0,-319844,Bonds,1185098,2024-06-28
GBP,2024-06-25,102547,58499,-3373.0,200.0,44048,Forex,161046,2024-06-28
AUD,2024-06-25,64620,88296,8921.0,-9059.0,-23676,Forex,152916,2024-06-28
NZD,2024-06-25,43711,17069,4281.0,-2032.0,26642,Forex,60780,2024-06-28
US30,2024-06-25,16170,16684,-1020.0,1018.0,-514,Indices,32854,2024-06-28
BTC,2024-06-25,22103,22727,-731.0,-830.0,-624,Crypto,44830,2024-06-28
USOil,2024-06-25,361099,89854,22437.0,-1959.0,271245,Commodity,450953,2024-06-28
NAS100,2024-06-25,67869,60474,2767.0,-8453.0,7395,Indices,128343,2024-06-28
JPY,2024-06-25,34576,208476,5147.0,31294.0,-173900,Forex,243052,2024-06-28
CHF,2024-06-25,6506,41563,32.0,-2301.0,-35057,Forex,48069,2024-06-28
EUR,2024-06-25,167370,175801,-4094.0,12288.0,-8431,Forex,343171,2024-06-28
NZD,2024-06-18,39430,19101,6054.0,-3297.0,20329,Forex,58531,2024-06-21
CHF,2024-06-18,6474,43864,-1224.0,-6697.0,-37390,Forex,50338,2024-06-21
CAD,2024-06-18,22778,170709,-14532.0,3906.0,-147931,Forex,193487,2024-06-21
NAS100,2024-06-18,65102,68927,4307.0,100.0,-3825,Indices,134029,2024-06-21
US10,2024-06-18,418362,785968,-55180.0,4734.0,-367606,Bonds,1204330,2024-06-21
AUD,2024-06-18,55699,97355,10159.0,-12970.0,-41656,Forex,153054,2024-06-21
SP500,2024-06-18,314948,414841,45788.0,47876.0,-99893,Indices,729789,2024-06-21
USD,2024-06-18,30205,12610,3747.0,-8835.0,17595,Forex,42815,2024-06-21
GBP,2024-06-18,105920,58299,-4380.0,120.0,47621,Forex,164219,2024-06-21
XAU,2024-06-18,287147,44063,10378.0,1220.0,243084,Commodity,331210,2024-06-21
US30,2024-06-18,17190,15666,-3087.0,-1447.0,1524,Indices,32856,2024-06-21
BTC,2024-06-18,22834,23557,-167.0,-582.0,-723,Crypto,46391,2024-06-21
USOil,2024-06-18,338662,91813,20479.0,7114.0,246849,Commodity,430475,2024-06-21
EUR,2024-06-18,171464,163513,-16233.0,19460.0,7951,Forex,334977,2024-06-21
JPY,2024-06-18,29429,177182,-1334.0,7840.0,-147753,Forex,206611,2024-06-21
GBP,2024-06-11,110300,58179,8182.0,-729.0,52121,Forex,168479,2024-06-14
CHF,2024-06-11,7698,50561,-53.0,-2953.0,-42863,Forex,58259,2024-06-14
JPY,2024-06-11,30763,169342,-9664.0,-3186.0,-138579,Forex,200105,2024-06-14
XAU,2024-06-11,276769,42843,-7797.0,-4421.0,233926,Commodity,319612,2024-06-14
USOil,2024-06-11,318183,84699,-15298.0,-38077.0,233484,Commodity,402882,2024-06-14
BTC,2024-06-11,23001,24139,-1469.0,-1450.0,-1138,Crypto,47140,2024-06-14
NZD,2024-06-11,33376,22398,3585.0,-188.0,10978,Forex,55774,2024-06-14
US10,2024-06-11,473542,781234,26329.0,-120734.0,-307692,Bonds,1254776,2024-06-14
US30,2024-06-11,20277,17113,-731.0,4391.0,3164,Indices,37390,2024-06-14
USD,2024-06-11,26458,21445,-345.0,-471.0,5013,Forex,47903,2024-06-14
EUR,2024-06-11,187697,144053,-1260.0,22966.0,43644,Forex,331750,2024-06-14
NAS100,2024-06-11,60795,68827,543.0,10572.0,-8032,Indices,129622,2024-06-14
AUD,2024-06-11,45540,110325,-6121.0,7361.0,-64785,Forex,155865,2024-06-14
SP500,2024-06-11,269161,366965,4866.0,49481.0,-97804,Indices,636126,2024-06-14
CAD,2024-06-11,37310,166803,-50.0,37804.0,-129493,Forex,204113,2024-06-14
AUD,2024-06-04,51661,102964,-2231.0,-844.0,-51303,Forex,154625,2024-06-07
USOil,2024-06-04,333481,122776,-11138.0,22083.0,210705,Commodity,456257,2024-06-07
XAU,2024-06-04,284566,47264,-2171.0,-2888.0,237302,Commodity,331830,2024-06-07
SP500,2024-06-04,264295,317484,-65159.0,-5777.0,-53189,Indices,581779,2024-06-07
US30,2024-06-04,21008,12722,-1277.0,3581.0,8286,Indices,33730,2024-06-07
CHF,2024-06-04,7751,53514,-1192.0,205.0,-45763,Forex,61265,2024-06-07
US10,2024-06-04,447213,901968,-51107.0,15473.0,-454755,Bonds,1349181,2024-06-07
NZD,2024-06-04,29791,22586,2875.0,-2284.0,7205,Forex,52377,2024-06-07
GBP,2024-06-04,102118,58908,9077.0,-8731.0,43210,Forex,161026,2024-06-07
CAD,2024-06-04,37360,128999,61.0,5115.0,-91639,Forex,166359,2024-06-07
NAS100,2024-06-04,60252,58255,-8150.0,-13873.0,1997,Indices,118507,2024-06-07
BTC,2024-06-04,24470,25589,1709.0,2072.0,-1119,Crypto,50059,2024-06-07
EUR,2024-06-04,188957,121087,4301.0,-5997.0,67870,Forex,310044,2024-06-07
USD,2024-06-04,26803,21916,-1522.0,-2235.0,4887,Forex,48719,2024-06-07
JPY,2024-06-04,40427,172528,11862.0,-12076.0,-132101,Forex,212955,2024-06-07
BTC,2024-05-28,22761,23517,-437.0,-571.0,-756,Crypto,46278,2024-05-31
US30,2024-05-28,22285,9141,-8387.0,-1422.0,13144,Indices,31426,2024-05-31
SP500,2024-05-28,329454,323261,26671.0,6708.0,6193,Indices,652715,2024-05-31
US10,2024-05-28,498320,886495,4817.0,-7980.0,-388175,Bonds,1384815,2024-05-31
GBP,2024-05-28,93041,67639,24503.0,154.0,25402,Forex,160680,2024-05-31
USOil,2024-05-28,344619,100693,12267.0,-12359.0,243926,Commodity,445312,2024-05-31
JPY,2024-05-28,28565,184604,-1049.0,10623.0,-156039,Forex,213169,2024-05-31
NZD,2024-05-28,26916,24870,4317.0,901.0,2046,Forex,51786,2024-05-31
AUD,2024-05-28,53892,103808,3356.0,-2961.0,-49916,Forex,157700,2024-05-31
NAS100,2024-05-28,68402,72128,-58.0,8386.0,-3726,Indices,140530,2024-05-31
CHF,2024-05-28,8943,53309,1255.0,4976.0,-44366,Forex,62252,2024-05-31
USD,2024-05-28,28325,24151,33.0,-623.0,4174,Forex,52476,2024-05-31
EUR,2024-05-28,184656,127084,2082.0,-14015.0,57572,Forex,311740,2024-05-31
CAD,2024-05-28,37299,123884,1900.0,-2339.0,-86585,Forex,161183,2024-05-31
XAU,2024-05-28,286737,50152,-13992.0,-20771.0,236585,Commodity,336889,2024-05-31
JPY,2024-05-21,29614,173981,-5689.0,12496.0,-144367,Forex,203595,2024-05-24
US30,2024-05-21,30672,10563,5933.0,1597.0,20109,Indices,41235,2024-05-24
CHF,2024-05-21,7688,48333,1042.0,580.0,-40645,Forex,56021,2024-05-24
EUR,2024-05-21,182574,141099,4176.0,-20144.0,41475,Forex,323673,2024-05-24
SP500,2024-05-21,302783,316553,31341.0,28592.0,-13770,Indices,619336,2024-05-24
USOil,2024-05-21,332352,113052,1957.0,-14300.0,219300,Commodity,445404,2024-05-24
NAS100,2024-05-21,68460,63742,-409.0,-1957.0,4718,Indices,132202,2024-05-24
US10,2024-05-21,493503,894475,-28848.0,24313.0,-400972,Bonds,1387978,2024-05-24
NZD,2024-05-21,22599,23969,3315.0,-6515.0,-1370,Forex,46568,2024-05-24
AUD,2024-05-21,50536,106769,10477.0,-10461.0,-56233,Forex,157305,2024-05-24
BTC,2024-05-21,23198,24088,2120.0,2833.0,-890,Crypto,47286,2024-05-24
USD,2024-05-21,28292,24774,-1390.0,-2473.0,3518,Forex,53066,2024-05-24
XAU,2024-05-21,300729,70923,23087.0,-2223.0,229806,Commodity,371652,2024-05-24
CAD,2024-05-21,35399,126223,1113.0,11634.0,-90824,Forex,161622,2024-05-24
GBP,2024-05-21,68538,67485,19864.0,-1264.0,1053,Forex,136023,2024-05-24
JPY,2024-05-14,35303,161485,313.0,-8427.0,-126182,Forex,196788,2024-05-17
NAS100,2024-05-14,68869,65699,3635.0,4870.0,3170,Indices,134568,2024-05-17
US10,2024-05-14,522351,870162,66427.0,-67382.0,-347811,Bonds,1392513,2024-05-17
CAD,2024-05-14,34286,114589,1341.0,12423.0,-80303,Forex,148875,2024-05-17
EUR,2024-05-14,178398,161243,7804.0,-4761.0,17155,Forex,339641,2024-05-17
US30,2024-05-14,24739,8966,5434.0,-1675.0,15773,Indices,33705,2024-05-17
XAU,2024-05-14,277642,73146,5498.0,569.0,204496,Commodity,350788,2024-05-17
